Rx,Ry,Theta,J_Obst_B,J_GoalT,JT,err_J,err_DTG
8.551744399,8.660485842,6,2.00182E-27,-0.06403638,-0.06403638,-0.063431645,-0.532231409
8.551744399,8.660485842,12,1.64659E-26,-0.10241157,-0.10241157,-0.101806835,-0.606354492
8.551744399,8.660485842,18,1.48542E-25,-0.150546689,-0.150546689,-0.149941954,-0.673112612
8.551744399,8.660485842,24,1.43464E-24,-0.202562994,-0.202562994,-0.201958258,-0.729328035
8.551744399,8.660485842,30,1.44703E-23,-0.248658659,-0.248658659,-0.248053924,-0.771285671
8.551744399,8.660485842,36,1.48613E-22,-0.277860025,-0.277860025,-0.27725529,-0.795305531
8.551744399,8.660485842,42,1.51495E-21,-0.282292422,-0.282292422,-0.281687687,-0.798812617
8.551744399,8.660485842,48,1.49436E-20,-0.260704023,-0.260704023,-0.260099288,-0.781397123
8.551744399,8.660485842,54,1.39102E-19,-0.219053483,-0.219053483,-0.218448748,-0.745007015
8.551744399,8.660485842,60,1.19239E-18,-0.167777907,-0.167777907,-0.167173172,-0.693091052
8.551744399,8.660485842,66,9.19366E-18,-0.117481764,-0.117481764,-0.116877028,-0.629443388
8.551744399,8.660485842,72,6.23483E-17,-0.075501025,-0.075501025,-0.07489629,-0.557451427
8.551744399,8.660485842,78,3.64182E-16,-0.044749247,-0.044749247,-0.044144512,-0.479842952
8.551744399,8.660485842,84,1.79709E-15,-0.024601297,-0.024601297,-0.023996562,-0.398718746
8.551744399,8.660485842,90,7.36186E-15,-0.012627471,-0.012627471,-0.012022736,-0.315679747
8.551744399,8.660485842,96,2.46524E-14,-0.00609585,-0.00609585,-0.005491114,-0.231956607
8.551744399,8.660485842,102,6.65937E-14,-0.002789824,-0.002789824,-0.002185089,-0.148513149
8.551744399,8.660485842,108,1.43543E-13,-0.001220853,-0.001220853,-0.000616118,-0.066121685
8.551744399,8.660485842,114,2.44824E-13,-0.000515497,-0.000515497,8.92383E-05,0.014584232
8.551744399,8.660485842,120,3.28477E-13,-0.000212015,-0.000212015,0.00039272,0.093073365
8.551744399,8.660485842,126,3.45571E-13,-8.5766E-05,-8.5766E-05,0.000518969,0.168891668
8.551744399,8.660485842,132,2.84912E-13,-3.44648E-05,-3.44648E-05,0.00057027,0.241644886
8.551744399,8.660485842,138,1.84477E-13,-1.38959E-05,-1.38959E-05,0.000590839,0.310986434
8.551744399,8.660485842,144,9.42545E-14,-5.67766E-06,-5.67766E-06,0.000599058,0.376608877
8.551744399,8.660485842,150,3.8281E-14,-2.37402E-06,-2.37402E-06,0.000602361,0.4382379
