Rx,Ry,Theta,J_Obst_B,J_GoalT,JT,err_J,err_DTG
8.736719019,9.119726143,6,1.65881E-26,-0.210316901,-0.210316901,-0.201551823,-0.463902595
8.736719019,9.119726143,12,3.87945E-27,-0.134901133,-0.134901133,-0.126136055,-0.380555643
8.736719019,9.119726143,18,1.08288E-27,-0.081652241,-0.081652241,-0.072887163,-0.296825434
8.736719019,9.119726143,24,3.65844E-28,-0.046894367,-0.046894367,-0.038129289,-0.213607751
8.736719019,9.119726143,30,1.51385E-28,-0.025710592,-0.025710592,-0.016945515,-0.131562518
8.736719019,9.119726143,36,7.7471E-29,-0.013545717,-0.013545717,-0.004780639,-0.051205021
8.736719019,9.119726143,42,4.93915E-29,-0.006906207,-0.006906207,0.00185887,0.027042708
8.736719019,9.119726143,48,3.94243E-29,-0.003432657,-0.003432657,0.005332421,0.102821942
8.736719019,9.119726143,54,3.94955E-29,-0.001676103,-0.001676103,0.007088975,0.175819255
8.736719019,9.119726143,60,4.96585E-29,-0.000810329,-0.000810329,0.007954749,0.245755405
8.736719019,9.119726143,66,7.81651E-29,-0.000390995,-0.000390995,0.008374083,0.312378312
8.736719019,9.119726143,72,1.53266E-28,-0.0001898,-0.0001898,0.008575278,0.375458559
8.736719019,9.119726143,78,3.71613E-28,-9.3428E-05,-9.3428E-05,0.00867165,0.434786462
8.736719019,9.119726143,84,1.1034E-27,-4.69987E-05,-4.69987E-05,0.008718079,0.490170172
8.736719019,9.119726143,90,3.96451E-27,-2.4344E-05,-2.4344E-05,0.008740734,0.541434427
8.736719019,9.119726143,96,1.69973E-26,-1.30775E-05,-1.30775E-05,0.008752,0.588419762
8.736719019,9.119726143,102,8.5581E-26,-7.33567E-06,-7.33567E-06,0.008757742,0.630982003
8.736719019,9.119726143,108,4.97151E-25,-4.32405E-06,-4.32405E-06,0.008760754,0.668991968
8.736719019,9.119726143,114,3.26846E-24,-2.69396E-06,-2.69396E-06,0.008762384,0.702335296
8.736719019,9.119726143,120,2.3822E-23,-1.78317E-06,-1.78317E-06,0.008763295,0.730912367
8.736719019,9.119726143,126,1.88342E-22,-1.25967E-06,-1.25967E-06,0.008763818,0.754638274
8.736719019,9.119726143,132,1.57909E-21,-9.53329E-07,-9.53329E-07,0.008764125,0.77344283
8.736719019,9.119726143,138,1.37165E-20,-7.75302E-07,-7.75302E-07,0.008764303,0.787270591
8.736719019,9.119726143,144,1.2055E-19,-6.79089E-07,-6.79089E-07,0.008764399,0.796080887
8.736719019,9.119726143,150,1.04674E-18,-6.41565E-07,-6.41565E-07,0.008764436,0.799847847
8.736719019,9.119726143,156,8.76944E-18,-6.54159E-07,-6.54159E-07,0.008764424,0.798560419
8.736719019,9.119726143,162,6.92556E-17,-7.19717E-07,-7.19717E-07,0.008764358,0.79222238
8.736719019,9.119726143,168,5.04028E-16,-8.53536E-07,-8.53536E-07,0.008764224,0.780852331
8.736719019,9.119726143,174,3.30769E-15,-1.08906E-06,-1.08906E-06,0.008763989,0.764483685
8.736719019,9.119726143,180,1.91741E-14,-1.49105E-06,-1.49105E-06,0.008763587,0.743164639
8.736719019,9.119726143,186,9.63083E-14,-2.18298E-06,-2.18298E-06,0.008762895,0.71695815
8.736719019,9.119726143,192,4.11804E-13,-3.40336E-06,-3.40336E-06,0.008761675,0.685941905
8.736719019,9.119726143,198,1.4753E-12,-5.62284E-06,-5.62284E-06,0.008759455,0.650208304
8.736719019,9.119726143,204,4.36682E-12,-9.79046E-06,-9.79046E-06,0.008755287,0.60986447
8.736719019,9.119726143,210,1.0553E-11,-1.78571E-05,-1.78571E-05,0.008747221,0.565032297
